Run,Points Evaluated,Binding ddG,Folding ddG
0,11,-0.188095005,16.24884153
0,61,-0.374702495,18.88710346
0,98,-0.12220436,16.47240582
0,93,-0.003751924,17.94762208
0,8,-0.414640847,23.64462216
0,10,-0.244169868,17.33489587
0,12,0.099553236,15.55061231
0,13,-0.19918459,18.16730244
0,97,-0.325635489,23.32033362
0,99,-0.284903534,17.60865469
0,100,0.089674341,24.72886382
0,92,-0.154922675,21.56118829
0,94,-0.120594308,27.01814499
0,14,-0.091548455,12.71399694
0,15,-0.187184436,15.46540281
0,16,-0.16142319,16.46115009
0,17,-0.116318565,12.67162062
0,18,-0.101559896,10.88827061
0,19,-0.119776343,16.08439128
0,20,-0.232821358,24.80343651
1,71,-0.096196923,19.47111556
1,48,0.066003521,29.94979401
1,60,0.294528903,22.91097084
1,117,-0.028520479,19.52853197
1,75,0.275994268,16.80167802
1,74,0.698606776,21.49327042
1,76,-0.250943043,19.35970444
1,77,-0.064735983,10.23290292
1,78,-0.296633243,13.18189546
1,79,-0.055531942,35.06580814
1,70,-0.466317768,29.60997411
1,72,-0.100640778,23.20304486
1,116,0.066218279,16.82693021
1,115,-0.238850119,18.80896942
1,114,-0.221129439,13.95460264
1,113,0.574853297,44.39198569
1,118,-0.217727118,20.23487305
1,119,-0.158537417,13.85133358
1,1,2.242991511,21.48659717
1,3,-0.387227721,16.86965726
2,26,0.017532394,23.7804807
2,101,-0.300371101,15.8671176
2,30,-0.165334008,16.8831507
2,58,0.042411533,13.99545785
2,3,-0.335159857,18.18603193
2,57,-0.14141002,17.50966859
2,59,-0.730740263,16.93360266
2,100,1.246311283,28.36406158
2,102,-0.263906779,17.82047763
2,60,0.159665507,19.24751171
2,29,-0.172707786,27.49753175
2,31,-0.196133965,16.32120369
2,32,-0.081856804,12.95590107
2,33,-0.215342045,12.32315847
2,34,-0.003437245,26.75054248
2,56,1.07159932,20.12682562
2,103,-0.307190146,21.97665945
2,2,0.004149011,20.90820031
2,4,-0.015692505,26.23309718
2,61,-0.728310466,19.33175478
3,85,-0.231250537,12.5401625
3,6,-0.062447224,22.46103053
3,7,-0.277575498,16.14292819
3,44,-0.148241822,17.97526984
3,103,-0.382932533,29.06488219
3,84,0.048745075,9.57589034
3,83,-0.160227217,16.48205183
3,86,-0.197097748,22.16622421
3,8,-0.283704782,22.81854999
3,82,0.135750645,11.88549736
3,81,-0.329833184,16.70369094
3,80,-0.111629816,15.44372865
3,79,-0.060839383,36.35716903
3,43,-0.120237983,21.07630886
3,45,-0.08251522,24.25256277
3,1,2.145412777,17.52039775
3,3,-0.362009554,18.47515725
3,4,-0.015515346,25.47411297
3,2,0.133762949,18.23400765
3,10,-0.178560989,21.34613613
4,14,0.162179284,18.17359186
4,3,-0.366377919,15.25434346
4,27,-0.058931913,22.82471976
4,17,-0.117997404,8.562264449
4,20,0.203741443,24.63373604
4,16,-0.165663771,13.93849539
4,18,0.357368604,12.9391827
4,2,0.087887744,17.51332253
4,4,-0.093076695,24.66225976
4,15,-0.108285564,12.94732547
4,6,-0.089588458,29.69174094
4,1,2.04313404,19.66806966
4,13,-0.206876463,22.66057797
4,8,-0.259656578,22.72349687
4,19,-0.064134689,16.41322787
4,10,-0.213013442,20.48763657
4,23,-0.013029164,15.52677774
4,24,0.304729417,35.13181539
4,29,-0.309350872,24.64677671
4,31,0.013437881,15.63966263
