Run,Points Evaluated,Binding ddG,Folding ddG
0,11,-0.188095005,16.24884153
0,61,-0.374702495,18.88710346
0,98,-0.12220436,16.47240582
0,93,-0.003751924,17.94762208
0,8,-0.414640847,23.64462216
0,119,-0.217591204,14.88548935
0,115,-0.190710434,22.95778815
0,116,-0.044971806,16.63968428
0,104,-0.248354718,13.86450528
0,41,0.004130315,20.78347014
0,118,-0.081232274,18.92215875
0,44,-0.150564701,17.52276501
0,117,-0.137209679,20.36506032
0,1,2.063303359,22.0976034
0,43,-0.081229315,18.63981291
0,88,-0.041880146,22.61569431
0,107,-0.167608383,16.89612428
0,114,-0.147374075,14.83153614
0,75,-0.235141284,15.14010165
0,89,-0.112042344,13.07659279
1,71,0.048095498,16.55453152
1,48,-0.458561233,27.10567958
1,60,0.151168166,23.41488748
1,117,-0.184365153,17.37416736
1,75,-0.208718932,16.4765602
1,119,-0.138887471,18.47986684
1,115,-0.225423344,21.60986257
1,116,-0.303633476,17.52234718
1,104,-0.123540024,16.05134218
1,41,0.045665569,23.48305363
1,43,-0.063818435,18.40769023
1,118,-0.297427808,25.22350842
1,44,-0.196849534,23.24060455
1,1,2.025500369,21.08423938
1,88,0.028149762,29.46145716
1,107,-0.232140124,14.49963553
1,114,-0.148704884,15.03506244
1,13,-0.197541209,20.23813159
1,25,-0.151064966,21.57085414
1,89,-0.030247263,15.5138698
2,26,-0.137253957,26.52774187
2,101,-0.350065972,14.74241687
2,30,-0.209344338,18.10714015
2,58,0.154358437,16.9727084
2,3,-0.298598013,14.25584321
2,119,-0.051803259,15.16055478
2,115,-0.184985251,17.38964855
2,116,-0.307128737,12.06143751
2,41,-0.028806297,27.12828738
2,117,-0.289780979,20.69346385
2,118,-0.212853289,23.75242598
2,104,-0.233592985,12.98810997
2,43,-0.1369918,15.58956267
2,44,-0.152371875,23.03467472
2,88,0.036775569,23.16133185
2,114,-0.229596769,12.61298515
2,107,-0.089956911,16.97788353
2,1,2.011972305,19.84169823
2,13,-0.213942637,19.41722587
2,89,0.017417535,15.67988464
3,85,-0.126243716,12.24299236
3,6,0.050773938,23.15473029
3,7,-0.270860164,18.50901464
3,44,-0.123829088,17.30908408
3,103,-0.268214425,23.14824403
3,119,-0.25411011,13.91964602
3,115,0.286184463,20.2695021
3,116,-0.26030923,15.25446556
3,104,0.49796878,14.99780666
3,41,-0.072371815,23.75007662
3,118,-0.213208872,21.27033606
3,117,-0.159378412,19.56435106
3,43,-0.194883514,13.08038503
3,1,2.132900099,20.95685549
3,88,-0.114798424,22.76333539
3,107,0.019793438,15.25219672
3,114,-0.282979059,13.3601691
3,75,-0.263496573,16.78896325
3,89,0.025080734,15.42034846
3,13,-0.189655669,18.09502552
4,14,-0.14685285,14.2281772
4,3,-0.311827363,15.39434699
4,27,-0.065667507,20.48338538
4,17,0.110288952,8.320530957
4,20,0.34090672,24.2265946
4,119,-0.228403094,14.28965104
4,115,-0.126788512,20.11389348
4,116,-0.188517531,14.23920736
4,41,-0.03932656,21.50467442
4,104,-0.230722803,11.70354969
4,43,-0.069450462,19.98839537
4,118,-0.331893975,21.75649057
4,44,-0.235560257,17.50006517
4,117,0.01683798,18.11335642
4,1,2.207007963,18.64206054
4,88,0.008078391,24.52170567
4,107,-0.240358915,15.88094256
4,114,-0.168242982,14.03772144
4,89,-0.126007982,13.07235865
4,75,-0.220512598,16.33313007
